,永雄,Stella,Datetime,Media,Title with link,Title,Desc,Link
10,,,2021/11/2 04:34,Biotech,"FDA delays Legend, Janssen-partnered CAR-T cilta-cel","FDA delays Legend, Janssen-partnered CAR-T cilta-cel",Legend Biotech and Johnson & Johnson have been hit by an FDA delay for their cell therapy blood cancer hopeful ciltacabtagene autoleucel.,https://www.fiercebiotech.com/biotech/legend-s-status-put-hold-as-fda-delays-janssen-partnered-car-t-decision
11,,,2021/11/2 03:00,Biotech,The top 10 highest-paid medtech CEOs,The top 10 highest-paid medtech CEOs,"The COVID-19 pandemic presented a once-in-a-generation challenge for the medtech industry, and many of the CEOs on this list met it head-on.",https://www.fiercebiotech.com/special-report/top-10-highest-paid-medtech-ceos
12,,,2021/11/2 14:00,MedCity,Rx for clinical trials moving forward: 4 key success factors,Rx for clinical trials moving forward: 4 key success factors,Covid-19 protocols may make re-opening or starting clinical trials seem like a daunting responsibility. Consider these four factors for a successful return to research.,https://medcitynews.com/2021/11/rx-for-clinical-trials-moving-forward-4-key-success-factors/
13,,,2021/11/2 11:00,Biotech,"Aldeyra dry eye drug helps with redness, misses secondary goals","Aldeyra dry eye drug helps with redness, misses secondary goals",Aldeyra Therapeutics’ dry eye drug helped relieve ocular redness but merely “approached statistical significance” on a secondary endpoint of wetness.,https://www.fiercebiotech.com/biotech/aldeyra-s-dry-eye-drug-helps-redness-but-misses-other-phase-2-goals-important-measures
14,,,2021/11/2 10:20,Biotech,Cambridge Epigenetix lines up $88M for genetic sequencing tech,Cambridge Epigenetix lines up $88M for genetic sequencing tech,"With the additional funds, the University of Cambridge spinout will accelerate the commercialization of its sequencing platform.",https://www.fiercebiotech.com/medtech/gv-backed-cambridge-epigenetix-lines-up-88m-to-roll-out-genetic-sequencing-technology
15,,,2021/11/1 09:40,Biotech,How differences in T cells govern I-O resistance in NSCLC,How differences in T cells govern I-O resistance in NSCLC,"T cells that become dysfunctional because of changes in gene expression were reactivated with cytokines in mouse models of NSCLC, an MIT team said.",https://www.fiercebiotech.com/research/mit-team-uncovers-differences-t-cells-drive-immuno-oncology-resistance-lung-cancer
16,,,2021/11/1 09:30,Biotech,Lengo's hiring spree shows continues with Pfizer vet hire,Lengo's hiring spree shows continues with Pfizer vet hire,"Lengo Therapeutics has named a slate of new hires in recent months and is back at it again, nabbing Turning Point’s Brion Murray, Ph.D.",https://www.fiercebiotech.com/biotech/lengo-s-hiring-spree-shows-no-signs-slowing-as-it-hires-pfizer-veteran-murray-as-vp
17,,,2021/11/1 09:05,Biotech,Ex-Moderna CMO Zaks takes venture partner post at OrbiMed,Ex-Moderna CMO Zaks takes venture partner post at OrbiMed,"Weeks after leaving Moderna, Zaks has taken up a venture partner post at OrbiMed—where he is joined by another storied biopharma executive.",https://www.fiercebiotech.com/biotech/zaks-fresh-from-making-millions-at-moderna-takes-venture-partner-post-at-orbimed
18,,,2021/11/1 08:45,Biotech,"Gilead bought his last biotech. Now, Helin has a new startup","Gilead bought his last biotech. Now, Helin has a new startup",The founder of a biotech bought by Gilead has birthed another startup.,https://www.fiercebiotech.com/biotech/gilead-bought-his-last-biotech-now-helin-back-another-cancer-startup
19,,,2021/11/1 08:00,Biotech,Intranasals in Clinic Now Positioned for $71 Billion Market,Intranasals in Clinic Now Positioned for $71 Billion Market,Australia’s Avance Clinical: how intranasal biotechs can expedite trials with rapid approval processes - including no IND and a 43.5% incentive rebate,https://www.fiercebiotech.com/sponsored/intranasals-clinic-now-positioned-for-71-billion-nasal-delivery-market
20,,,2021/11/1 08:00,Biotech,Merck inks $525M biobucks pact for Synthekine's cytokine target,Merck inks $525M biobucks pact for Synthekine's cytokine target,Preclinical biotech Synthekine inks its first pharma collaborator in $525 million biobucks pact with Merck for cytokine target in autoimmune disease.,https://www.fiercebiotech.com/biotech/as-covid-takes-center-stage-at-merck-pharma-signs-525m-biobucks-pact-synthekine-for
21,,,2021/11/1 08:00,Biotech,A New Reference Model for Clinical Trial Recruitment,A New Reference Model for Clinical Trial Recruitment,Rare diseases demand a modern approach grounded in uncovering medically-eligible patients with the highest propensity for enrollment and retention.,https://www.fiercebiotech.com/sponsored/a-new-reference-model-for-clinical-trial-recruitment-enrollment-and-retention-success
22,,,2021/11/1 19:59,MedCity,Teladoc plans to fend off competitors by building a full suite of products,Teladoc plans to fend off competitors by building a full suite of products,"As more companies spin up their own telehealth products, Teladoc CEO Jason Gorevic said the company continues to acquire and retain customers by having a full suite of solutions. He expects that point solutions will have a harder time going forward. ",https://medcitynews.com/2021/11/teladoc-plans-to-fend-off-competitors-by-building-a-full-suite-of-products/
23,,,2021/11/1 07:15,Biotech,BD inks BARDA contract to develop tests for COVID’s long future,BD inks BARDA contract to develop tests for COVID’s long future,The goal is to provide COVID tests that simultaneously screen for the flu and other infectious diseases from a single sample.,https://www.fiercebiotech.com/medtech/bd-inks-barda-contract-to-develop-covid-tests-for-long-future-pandemic
24,,,2021/11/1 07:10,Biotech,Detect nets FDA green light for home-based molecular COVID test,Detect nets FDA green light for home-based molecular COVID test,The company’s molecular diagnostic received an emergency authorization allowing it to be sold at retail stores over-the-counter.,https://www.fiercebiotech.com/medtech/detect-nets-fda-green-light-to-bring-routine-molecular-covid-testing-to-home
25,,,2021/11/1 17:25,MedCity,"New CMS incentives look to close equity gap in home dialysis, kidney transplants ","New CMS incentives look to close equity gap in home dialysis, kidney transplants ",The agency issued a final rule on Friday that would update payment rates for dialysis. It includes a payment model that would incentivize healthcare providers to decrease disparities for in-home dialysis rates and transplant rates among low-income patients. ,https://medcitynews.com/2021/11/new-cms-incentives-look-to-close-equity-gap-in-home-dialysis-kidney-transplants/
26,,,2021/11/1 16:38,MedCity,A new California law aims to strengthen access to mental health services,A new California law aims to strengthen access to mental health services,"A California law signed Oct. 8 by Gov. Gavin Newsom requires that mental health and substance abuse patients be offered return appointments no more than 10 days after a previous session, unless their provider OKs less frequent visits.",https://medcitynews.com/2021/11/a-new-california-law-aims-to-strengthen-access-to-mental-health-services/
27,,,2021/11/1 15:10,Biotech,TriNetX hires Harvard professor as chief scientific officer,TriNetX hires Harvard professor as chief scientific officer,Jeffrey Brown will move down the block from his office at Harvard Medical School to be the chief scientific officer of TriNetX.,https://www.fiercebiotech.com/cro/trials-network-provider-life-sciences-data-company-trinetx-snags-harvard-prof-as-chief
28,,,2021/11/1 14:00,MedCity,Strategies for managing opioid use in elderly patients,Strategies for managing opioid use in elderly patients,Clinicians must be aware that coordination of care is one of the key factors to combat opioid epidemic and stop overuse of more powerful and dangerous medications.,https://medcitynews.com/2021/11/strategies-for-managing-opioid-use-in-elderly-patients/
29,,,2021/11/1 13:16,MedCity,MedCity News adds publisher to accelerate growth,MedCity News adds publisher to accelerate growth,"Breaking Media Inc. has announced Ken Montgomery as Publisher for MedCity News, the leading online news source for innovation in the healthcare industry. ",https://medcitynews.com/2021/11/medcity-news-adds-publisher-to-accelerate-growth/
30,,,2021/11/1 11:52,Biotech,Boehringer joins $20M series A for Alzheimer's test maker Optina,Boehringer joins $20M series A for Alzheimer's test maker Optina,Optina will continue to develop its Retinal Deep Phenotyping platform and accelerate clinical trials of its first Alzheimer’s diagnostic.,https://www.fiercebiotech.com/medtech/optina-diagnostics-nabs-boehringer-s-support-20m-vc-round-for-retina-based-alzheimer-s-test
31,,,2021/11/1 11:14,Biotech,"Mirati KRAS concerns as key adagrasib lead, COO suddenly exit","Mirati KRAS concerns as key adagrasib lead, COO suddenly exit",Mirati's new CEO has shown the biotech's chief medical and operating officers the exit as the biotech searches for a CFO to lead commercialization.,https://www.fiercebiotech.com/biotech/kras-race-against-amgen-mirati-cmo-and-coo-shown-exit-ahead-fda-drug-approval-request
32,,,2021/11/1 10:22,Biotech,Inovio falls victim to AstraZeneca's 'usual pipeline pruning',Inovio falls victim to AstraZeneca's 'usual pipeline pruning',AstraZeneca is wielding the ax to a bloated pipeline and Inovio has found itself the latest victim. ,https://www.fiercebiotech.com/biotech/inovio-falls-victim-to-astrazeneca-s-usual-pipeline-pruning-as-human-papillomavirus-cancer
33,,,2021/11/1 10:10,Biotech,Zimmer Biomet recalls Rosa One robotic neurosurgery platform,Zimmer Biomet recalls Rosa One robotic neurosurgery platform,"According to the FDA, an error in the latest version of the Rosa One software could cause instruments to be incorrectly placed during neurosurgery.",https://www.fiercebiotech.com/medtech/zimmer-biomet-issues-class-i-recall-rosa-one-robotic-neurosurgery-platform-due-to-software
34,,,2021/11/1 10:00,Biotech,"LianBio inks $325M IPO for pipeline with BMS, BridgeBio, Lyra","LianBio inks $325M IPO for pipeline with BMS, BridgeBio, Lyra","LianBio raised $325 million in its IPO for a pipeline stacked with partners BMS, BridgeBio, Tarsus, Lyra, Landos, Nanobiotix and ReViral.",https://www.fiercebiotech.com/biotech/lianbio-snags-325m-ipo-slightly-bigger-than-multi-partnered-biotech-s-2020-series-a
35,,,2021/11/1 10:00,MedCity,"Transforming medical device training, adoption, and sales with remote case observation","Transforming medical device training, adoption, and sales with remote case observation","Hospitals need to keep patient safety and operational efficiency at the forefront. By minimizing the number of individuals entering the OR, RCO provides immediate operational and safety improvements.",https://medcitynews.com/2021/11/transforming-medical-device-training-adoption-and-sales-with-remote-case-observation/
36,,,2021/10/31 14:00,MedCity,5 ways health plans are addressing health equity,5 ways health plans are addressing health equity,Medicare and Medicaid plans that invest in effectively addressing these five health equity issues can create a win-win situation that both improves member satisfaction and retention,https://medcitynews.com/2021/10/5-ways-health-plans-are-addressing-health-equity/
37,,,2021/10/29 09:30,Biotech,Alnylam CEO to pass baton to president by 2022—Chutes & Ladders,Alnylam CEO to pass baton to president by 2022—Chutes & Ladders,Alynlam CEO Maraganore to leave by 2022 as President Greenstreet steps into role. Medivir taps fourth CEO in two years. Aadi snags Immunomedics CMO.,https://www.fiercebiotech.com/biotech/chutes-ladders-medivir-poaches-astrazeneca-veteran-to-be-fourth-ceo-past-2-years
38,,,2021/10/29 09:29,Biotech,DNA Script tallies $165M to help launch its desktop DNA printer,DNA Script tallies $165M to help launch its desktop DNA printer,"Using four specially prepared genetic “inks”—G, A, T and C—the strings of genetic code are assembled letter by letter.",https://www.fiercebiotech.com/medtech/dna-script-tallies-up-165m-to-help-launch-its-desktop-dna-printer
39,,,2021/10/29 08:50,Biotech,Signet Therapeutics gets a $10M top-up for next-gen cancer bets,Signet Therapeutics gets a $10M top-up for next-gen cancer bets,Little U.S.-China startup Signet Therapeutics has bagged a second seed round worth around $10 million as plots a path to the clinic.,https://www.fiercebiotech.com/biotech/signet-therapeutics-gets-a-10m-top-up-for-next-gen-cancer-bets
40,,,2021/10/29 07:45,Biotech,Daiichi jettisons ADC after flunking early solid tumor test,Daiichi jettisons ADC after flunking early solid tumor test,"Daiichi's ADC team has hit a rare bump in the road, dumping a gastrointestinal stromal tumor candidate after seeing “no clear responses” in phase 1.",https://www.fiercebiotech.com/biotech/daiichi-jettisons-adc-after-flunking-early-solid-tumor-test
41,,,2021/10/29 07:30,Biotech,Gilead taps brakes on $4.9B bet after rival's failure,Gilead taps brakes on $4.9B bet after rival's failure,"Weeks after Takeda’s rival drug flunked a pivotal trial, Gilead has delayed data from a phase 1b study designed to support accelerated approval.",https://www.fiercebiotech.com/biotech/gilead-dabs-brakes-4-9b-bet-after-rival-s-failure-pushing-blood-cancer-data-out-to-22
42,,,2021/10/29 07:20,MedCity,Clinical decision support guidance tops FDA’s agenda for 2022,Clinical decision support guidance tops FDA’s agenda for 2022,At the top of the Food and Drug Administration’s agenda for the next 12 months: […],https://medcitynews.com/2021/10/clinical-decision-support-guidance-tops-fdas-agenda-for-2022/
43,,,2021/10/29 02:46,Biotech,NIH deals out $75M for health data science research in Africa,NIH deals out $75M for health data science research in Africa,The NIH will invest $74.5 million through a new program to establish data science research centers and training across Africa.,https://www.fiercebiotech.com/medtech/nih-deals-out-nearly-75m-for-new-program-focusing-data-science-research-and-critical-health
44,,,2021/10/29 14:00,Biotech,A COVID-19 vaccine in a patch rivals shots in mice,A COVID-19 vaccine in a patch rivals shots in mice,Researchers at University of Queensland collaborated with Vaxxas to develop a COVID-19 patch that warded off the virus in mice.,https://www.fiercebiotech.com/research/a-covid-19-vaccine-delivered-as-a-patch-shows-promise-against-virus-mice
45,,,2021/10/29 11:10,Biotech,Magnus Medical debuts with $25M to target severe depression,Magnus Medical debuts with $25M to target severe depression,The neurostimulation startup Magnus Medical is raising the curtain with $25 million in hand and an FDA breakthrough designation.,https://www.fiercebiotech.com/medtech/magnus-medical-debuts-25m-to-target-drug-resistant-depression-personalized-therapy
46,,,2021/10/29 10:15,Biotech,Spooky SPAC season and a $180M Entrada onto Wall Street,Spooky SPAC season and a $180M Entrada onto Wall Street,Rare diseases-focused Entrada Therapeutics becomes latest preclinical biotech to hit the Nasdaq with $181.5 million and another SPAC debuts.,https://www.fiercebiotech.com/biotech/spactacular-spooky-season-for-arbor-rapha-s-blank-check-and-entrada-entrance-onto-wall
47,,,2021/10/28 09:55,Biotech,"Pfizer, J&J sign on to streamline gene therapy development","Pfizer, J&J sign on to streamline gene therapy development","A cadre of pharmas have signed on to a new U.S. federal government initiative to go after gene therapies for rare diseases, with $76 million in funds.",https://www.fiercebiotech.com/biotech/pfizer-j-j-among-pharmas-and-biotechs-signing-to-us-agencies-new-rare-disease-gene-therapy
48,,,2021/10/28 09:30,MedCity,The IT work that Covid halted & the hurdles to jumpstarting it again,The IT work that Covid halted & the hurdles to jumpstarting it again,"Though the Covid-19 pandemic accelerated some aspects of health IT, it slowed others, including EHR replacements and back-office system upgrades. CIOs from some of the nation’s leading health systems shared not only the projects they put on hold, but also how they made those decisions and the challenges they faced when trying to reignite their efforts. ",https://medcitynews.com/2021/10/the-it-work-that-covid-halted-the-hurdles-to-jumpstarting-it-again/
49,,,2021/10/28 08:15,Biotech,Telecom tycoon's phase 3 pancreatic cancer bet flames out,Telecom tycoon's phase 3 pancreatic cancer bet flames out,The pivotal trial found devimistat had no effect on overall survival—and as a kicker another phase 3 in a blood cancer was stopped early for futility.,https://www.fiercebiotech.com/biotech/telecom-tycoon-s-phase-3-pancreatic-cancer-bet-flames-out-sending-stock-to-basement
50,,,2021/10/28 08:00,Biotech,Frazier raises $830M for first public life science fund,Frazier raises $830M for first public life science fund,Frazier is expanding its activities. The targets? Small and mid-cap biotechs that are off the beaten path or recovering from a value-crushing setback.,https://www.fiercebiotech.com/biotech/frazier-has-raised-830m-public-life-science-fund-here-s-how-it-plans-to-invest-cash
51,,,2021/10/28 07:52,MedCity,Which startups will present at INVEST Pop Health Pitch Perfect?,Which startups will present at INVEST Pop Health Pitch Perfect?,The six companies taking part in the contest November 16 will present technologies addressing chronic conditions such as kidney disease and Type 2 diabetes as well as improving patient engagement for underinsured and underserved patients. ,https://medcitynews.com/2021/10/which-startups-will-present-at-invest-pop-health-pitch-perfect/
52,,,2021/10/28 07:00,Biotech,Sanofi hit by filing delays for key drugs,Sanofi hit by filing delays for key drugs,"Sanofi, in its third-quarter financials posted early Thursday morning, outlined a list of delays for a number of key assets.",https://www.fiercebiotech.com/biotech/sanofi-hit-by-filing-delays-for-key-drugs-drops-early-sangamo-thalassemia-asset
53,,,2021/10/28 14:52,MedCity,"Hinge Health raises $600M, plans all-out MSK effort","Hinge Health raises $600M, plans all-out MSK effort","The startup walks people through exercises at home, and connects them to health coaches and physical therapists. It’s now valued at $6.2 billion.",https://medcitynews.com/2021/10/hinge-raises-600m-plans-all-out-msk-effort/
54,,,2021/10/28 14:00,MedCity,The role of AI in advancing neuromodulation treatment for epilepsy,The role of AI in advancing neuromodulation treatment for epilepsy,"Vagus nerve stimulation devices still have a long way to go, but the therapeutic potential of the vagus nerve, the advent of AI and machine learning in healthcare and the opportunity to establish truly personalized digital medicine are enough to warrant further exploration into VNS.",https://medcitynews.com/2021/10/the-role-of-ai-in-advancing-neuromodulation-treatment-for-epilepsy/
55,,,2021/10/28 12:59,Biotech,Science 37 taps 2 CROs in Japan for virtual trials expansion,Science 37 taps 2 CROs in Japan for virtual trials expansion,From Los Angeles to Tokyo: Science 37 expands its work in virtual clinical trials by teaming up with two CROs in Japan to boost access to studies.,https://www.fiercebiotech.com/cro/science-37-partners-two-cros-japan-as-part-decentralized-trials-push
56,,,2021/10/28 12:23,Biotech,"FDA adds new restrictions, warning labels for breast implants","FDA adds new restrictions, warning labels for breast implants","The agency curbed the sale of breast implants from Allergan, Johnson & Johnson's Mentor division, Sientra and Ideal Implant.",https://www.fiercebiotech.com/medtech/fda-adds-new-restrictions-warning-labels-for-breast-implants-following-reports-cancer-cases
57,,,2021/10/28 10:30,Biotech,"Checkmate CEO exits one-asset biotech, board member fills post","Checkmate CEO exits one-asset biotech, board member fills post",Checkmate CEO Barry Labinger departs without explanation as board member Alan Fuhrman takes interim post while cancer biotech searches for new leader.,https://www.fiercebiotech.com/biotech/checkmate-begins-search-for-new-ceo-as-board-member-biotech-cfo-veteran-alan-fuhrman-takes
58,,,2021/10/28 10:13,Biotech,"FDA outlines best AI practices alongside Canada, UK","FDA outlines best AI practices alongside Canada, UK",The 10 principles underline what the agencies describe as “Good Machine Learning Practice” in the same vein as other industry quality standards.,https://www.fiercebiotech.com/medtech/healthcare-ai-ml-artificial-intelligence-machine-learning-fda-uk-mhra-health-canada
59,,,2021/10/27 09:52,Biotech,Potential pain remedy emerges from 'junkyard of cancer drugs',Potential pain remedy emerges from 'junkyard of cancer drugs',"An old cancer drug called kenpaullone enhances the expression of the gene KCC2, which is essential for silencing pain signals, a new study found.",https://www.fiercebiotech.com/research/duke-and-uc-scientists-find-a-potential-remedy-for-chronic-pain-from-a-junkyard-cancer
60,,,2021/10/27 09:28,Biotech,One Drop launches Bayer-boosted heart disease prevention program,One Drop launches Bayer-boosted heart disease prevention program,The digital diabetes maven One Drop is taking new steps into the broader healthcare world with the pharma giant Bayer walking alongside.,https://www.fiercebiotech.com/medtech/one-drop-launches-bayer-boosted-ai-program-for-preventing-heart-disease
61,,,2021/10/27 21:15,MedCity,"Northwell Health, Aegis team up to launch AI-focused joint venture","Northwell Health, Aegis team up to launch AI-focused joint venture","The health system and startup studio’s new joint venture will develop and launch companies that use artificial intelligence to address healthcare problems, including disparities in care. The venture will combine Northwell’s clinical expertise and patient data with Aegis’ data scientists and commercialization capabilities. ",https://medcitynews.com/2021/10/northwell-health-aegis-team-up-to-launch-ai-focused-joint-venture/
62,,,2021/10/27 09:10,Biotech,"GSK, after pushing past fail, ends work on otilimab in COVID-19","GSK, after pushing past fail, ends work on otilimab in COVID-19",GSK is stopping development of otilimab in COVID-19 in response to the failure of the drug in phase 2 and progress of its anti-SARS-CoV-2 antibody.,https://www.fiercebiotech.com/biotech/gsk-after-pushing-past-midphase-fail-ends-development-otilimab-covid-19
63,,,2021/10/27 20:43,MedCity,Hello Heart study shows potential for digital tools to help manage blood pressure ,Hello Heart study shows potential for digital tools to help manage blood pressure ,A large study published in JAMA Network Open found that people with stage II hypertension were able to reduce their systolic blood pressure and maintain it over three years using Hello Heart’s app. ,https://medcitynews.com/2021/10/hello-heart-study-shows-potential-for-digital-tools-to-help-manage-blood-pressure/
64,,,2021/10/27 08:05,Biotech,ElevateBio buys editing tech to support gene therapy pipeline,ElevateBio buys editing tech to support gene therapy pipeline,ElevateBio has enjoyed a close look at Life Edit Therapeutics over the past 11 months. The experience has persuaded ElevateBio to buy the business.,https://www.fiercebiotech.com/biotech/elevatebio-cuts-a-deal-for-life-edit-adding-genome-engineering-tech-to-support-gene-therapy
65,,,2021/10/27 07:40,Biotech,"After COVID flop, Angion's leading med fails again","After COVID flop, Angion's leading med fails again",Angion Biomedica saw its shares down more than 50% early Wednesday morning on news that its kidney transplant hopeful ANG-3777 has failed a phase 3.,https://www.fiercebiotech.com/biotech/after-covid-flop-angion-s-leading-med-fails-again-time-kidney-transplant-patients-as-shares
66,,,2021/10/27 18:01,MedCity,Report: $27B remains unspent in Covid-19 Provider Relief Fund,Report: $27B remains unspent in Covid-19 Provider Relief Fund,"Of the billions of dollars provided by the government to support providers during the pandemic, $11.7 billion has been allocated but not spent, $7.1 billion has not been allocated and $8 billion has been returned for various reasons, including that the organization recovered faster than expected.",https://medcitynews.com/2021/10/report-27b-remains-unspent-in-covid-19-provider-relief-fund/
67,,,2021/10/27 16:46,MedCity,"Bayer, One Drop release digital health program for heart disease","Bayer, One Drop release digital health program for heart disease","The app lets people track their metrics through connected devices, and access health coaching and educational materials. It’s one of multiple that Bayer and One Drop plan to develop together in the future. ",https://medcitynews.com/2021/10/bayer-one-drop-release-digital-health-program-for-heart-disease/
68,,,2021/10/27 14:00,Biotech,Boosting I-O by targeting a cellular stress pathway,Boosting I-O by targeting a cellular stress pathway,"A cellular process called the ""replication stress response"" could provide a genetic signature for selecting I-O patients, MD Anderson reported.",https://www.fiercebiotech.com/research/genetic-signature-behind-drugs-astrazeneca-bayer-eli-lilly-boost-cancer-immunotherapy
69,,,2021/10/27 12:16,Biotech,Merck HIV combo pill compares to existing meds in phase 3 trials,Merck HIV combo pill compares to existing meds in phase 3 trials,The addition of Merck's new oral pill to a cocktail of approved medicines for HIV-1 produced a viral response comparable to common treatments.,https://www.fiercebiotech.com/biotech/merck-close-to-regulatory-filings-for-hiv-treatment-combo-shows-comparable-efficacy-to
70,,,2021/10/27 12:05,Biotech,Takeda-backed cardiovascular biotech nabs $300M from Bain,Takeda-backed cardiovascular biotech nabs $300M from Bain,Takeda-backed cardiovascular disease specialist Cardurion Pharma has a new investor and $300 million in cash to play with thanks to Bain Capital.,https://www.fiercebiotech.com/biotech/takeda-backed-cardiovascular-biotech-nabs-300m-investment-from-bain
71,,,2021/10/27 12:00,Biotech,Immunai adds $215M to bank to help discovery drug targets,Immunai adds $215M to bank to help discovery drug targets,Immunai is mapping the immune system and partnering with biopharmas to find drug targets. A $215 million funding boost will expand that work.,https://www.fiercebiotech.com/cro/immunai-secures-215m-for-immune-system-map-fuel-more-acquisitions
72,,,2021/10/27 11:38,Biotech,NuVasive to launch global VR training program for spine surgery,NuVasive to launch global VR training program for spine surgery,"Working with the orthopedic VR surgery developer PrecisionOS, NuVasive aims to deliver a cadaver-less training course built around its X360 system.",https://www.fiercebiotech.com/medtech/nuvasive-to-launch-international-vr-training-program-for-spine-surgery
73,,,2021/10/27 10:33,Biotech,Takeda buys partner GammaDelta for cancer T-cell therapies,Takeda buys partner GammaDelta for cancer T-cell therapies,"Takeda's $100M R&D pact with U.K. partner GammaDelta, begun in 2017, has turned into a full-out acquisition for the biotech's cancer T-cell therapies.",https://www.fiercebiotech.com/biotech/takeda-buys-out-collaborator-gammadelta-therapeutics-for-solid-tumor-pipeline
74,,,2021/10/27 10:27,Biotech,"Novavax asks UK for COVID-19 vaccine approval, FDA by year-end","Novavax asks UK for COVID-19 vaccine approval, FDA by year-end","With an FDA filing pushed to the end of this year, Novavax has completed submission of its COVID-19 vaccine to U.K. regulators.",https://www.fiercebiotech.com/biotech/novavax-completes-uk-filing-for-covid-19-vaccine-expects-to-finish-fda-filing-by-year-s-end
75,,,2021/10/26 09:20,Biotech,"Lilly, Pfizer stop study of arthritis drug after FDA rejection","Lilly, Pfizer stop study of arthritis drug after FDA rejection","After seeing regulators on both sides of the Atlantic knock back filings, Eli Lilly and Pfizer have stopped global clinical development of tanezumab.",https://www.fiercebiotech.com/biotech/lilly-pfizer-stop-development-osteoarthritis-drug-after-fda-rejection-extending-bleak-run
