,Datetime,Media,Title,Desc,Link
10,2021-11-05 2:56 PM,MedCity,Legislative victories fuel advocates for coverage of biomarker testing,"Lawmakers have acted to strengthen insurance reimbursement for biomarker testing in California, Illinois and Louisiana. Patient advocates and testing companies hope more will act in the coming year.","<a href=https://medcitynews.com/2021/11/legislative-victories-fuel-advocates-for-coverage-of-biomarker-testing/ target=""_blank""><div>Link</div></a>"
11,2021-11-05 10:00 AM,Biotech,Treating resistant prostate cancer via tumor-suppressing RNA,"Dialing up the expression of a long noncoding RNA in mouse models of prostate cancer caused tumors to shrink, Washington University researchers found.","<a href=https://www.fiercebiotech.com/research/treating-drug-resistant-prostate-cancer-by-exploiting-tumor-suppressing-rna target=""_blank""><div>Link</div></a>"
12,2021-11-04 9:30 AM,Biotech,Sangamo's Fabry gene therapy clears early clinical test,"The gene therapy showed encouraging safety and efficacy signs in the small study, prompting Sangamo to start preparations for a phase 3 trial.","<a href=https://www.fiercebiotech.com/biotech/sangamo-s-fabry-gene-therapy-clears-early-clinical-test-firing-starting-gun-preparations target=""_blank""><div>Link</div></a>"
13,2021-11-04 9:28 PM,MedCity,"Vaccine requirements incoming for healthcare facilities, big businesses","CMS set a deadline for staff at Medicare- or Medicaid- certified facilities to be fully vaccinated against Covid-19 by Jan. 4. Similarly, OSHA is also requiring large companies to vaccinate their workers by that date. ","<a href=https://medcitynews.com/2021/11/vaccine-requirements-incoming-for-healthcare-facilities-big-businesses/ target=""_blank""><div>Link</div></a>"
14,2021-11-04 8:55 AM,Biotech,Bayer poaches Otsuka's chief medical officer Koenen,The German pharma is tapping Christoph Koenen as its new global head of clinical development and operations in its R&D unit.,"<a href=https://www.fiercebiotech.com/biotech/bayer-poaches-otsuka-s-chief-medical-officer-koenen-to-head-up-its-clinical-operations target=""_blank""><div>Link</div></a>"
15,2021-11-04 8:40 AM,Biotech,Ironwood starts pipeline rebuild with liver disease deal,Ironwood has secured a chance to license Cour Pharmaceuticals’ liver disease candidate CNP-104 after getting a look at early-phase data. ,"<a href=https://www.fiercebiotech.com/biotech/after-flops-ironwood-starts-pipeline-rebuild-liver-disease-deal target=""_blank""><div>Link</div></a>"
16,2021-11-04 7:58 PM,MedCity,Cell therapy biotech PlateletBio reels in $75M as it looks ahead to first clinical test,"PlateletBio trails Sanofi among others in pursuit of a new therapy for a rare blood clotting disorder that has few treatments. But the biotech startup could stand apart from those drugs with its new class of cell therapy, which harnesses the properties of platelets.","<a href=https://medcitynews.com/2021/11/cell-therapy-biotech-plateletbio-reels-in-75m-as-it-looks-ahead-to-first-clinical-test/ target=""_blank""><div>Link</div></a>"
17,2021-11-04 7:41 AM,MedCity,Origami Therapeutics developing treatments for neurodegenerative diseases with ML and computational chemistry,"Beth Hoffman, Origami Therapeutics CEO, talks about how the company’s platform enables the discovery and development of protein degraders and conformation correctors to match the best drug to treat neurodegenerative diseases, such as Huntington’s disease.","<a href=https://medcitynews.com/2021/11/origami-therapeutics-developing-treatments-for-neurodegenerative-diseases-with-ml-and-computational-chemistry/ target=""_blank""><div>Link</div></a>"
18,2021-11-04 7:30 AM,MedCity,How to improve health equity is one theme of the INVEST Pop Health virtual conference,"Hear from industry executives and leaders sharing their insights on this topic at INVEST Pop Health, a virtual and free conference, in collaboration with New Orleans Business Alliance, scheduled for November 15-16. Register today.","<a href=https://medcitynews.com/2021/11/how-to-improve-health-equity-is-one-theme-of-the-invest-pop-health-virtual-conference/ target=""_blank""><div>Link</div></a>"
19,2021-11-04 6:00 AM,Biotech,VC firm Mission BioCapital snags $275M to launch new biotechs,"Mission BioCapital reeled in $275 million to launch biotechs. It's the latest VC shop to raise a fund this year, joining Jeito, Frazier and Flagship.","<a href=https://www.fiercebiotech.com/biotech/vc-shop-mission-biocapital-raises-275m-fifth-fund-focus-incubating-startups target=""_blank""><div>Link</div></a>"
20,2021-11-04 5:24 PM,MedCity,Senior care startup Papa valued at $1.4B,The startup matches seniors with companions to help with non-medical tasks. It currently has partnerships with more than 65 health plans. ,"<a href=https://medcitynews.com/2021/11/senior-care-startup-papa-valued-at-1-4b/ target=""_blank""><div>Link</div></a>"
21,2021-11-04 2:58 PM,Biotech,Alphabet unveils AI drug venture built on DeepMind protein work,The new Isomorphic Laboratories aims to deliver an “AI-first approach” to biopharma research as a partner to drugmakers.,"<a href=https://www.fiercebiotech.com/medtech/alphabet-google-ai-drug-discovery-deepmind-protein-folding target=""_blank""><div>Link</div></a>"
22,2021-11-04 2:00 PM,MedCity,"Novartis is cashing out of Roche for $21B, 20 years after mega-merger that never happened","Novartis’s equity stake in Roche, shares acquired 20 years ago in a strategy to build up to a potential mega-merger, will be sold back to the company in a $20.7 billion deal. The cash proceeds could fuel Novartis R&D, as well as potential dealmaking.","<a href=https://medcitynews.com/2021/11/novartis-is-cashing-out-of-roche-for-21b-20-years-after-mega-merger-that-never-happened/ target=""_blank""><div>Link</div></a>"
23,2021-11-04 1:08 PM,Biotech,Hologic launches AI-powered cervical cancer screening in EU,"Altogether, the entire multipart system is designed to be broadly accessible and easily updated and expanded by labs around the world.","<a href=https://www.fiercebiotech.com/medtech/hologic-begins-european-rollout-ai-powered-cervical-cancer-screening-system target=""_blank""><div>Link</div></a>"
24,2021-11-04 11:37 AM,Biotech,Amgen targets 'multi-specifics' in drug development's 4th wave,"Amgen's early-stage pipeline is loaded with multi-specific drugs, which make up about 60% of its candidates.","<a href=https://www.fiercebiotech.com/biotech/amgen-has-loaded-early-pipeline-multi-specifics-quest-to-tackle-undruggable target=""_blank""><div>Link</div></a>"
25,2021-11-04 10:56 AM,Biotech,Siemens posts record year following Varian megadeal,"Outside of pandemic-related diagnostic sales, Siemens posted growth of 11.8% compared to the year before, driven by expansions in its core businesses.","<a href=https://www.fiercebiotech.com/medtech/siemens-posts-record-year-backs-varian-acquisition-covid-antigen-test-sales target=""_blank""><div>Link</div></a>"
26,2021-11-04 10:37 AM,Biotech,Aptose to pay Hanmi up to $420M for myeloid inhibitor,Hanmi Pharmaceutical's early-stage acute myeloid leukemia drug gives Aptose Biosciences the confidence to sign a $420 million licensing pact.,"<a href=https://www.fiercebiotech.com/biotech/aptose-inks-408m-biobucks-deal-hanmi-for-access-to-phase-1-2-myeloid-inhibitor target=""_blank""><div>Link</div></a>"
27,2021-11-04 10:24 AM,Biotech,Section 32 closes $740M VC fund to back health tech startups,"Several lucky startups developing new tech to transform the medical field are about to get quite a bit richer—$740 million richer, to be exact.","<a href=https://www.fiercebiotech.com/medtech/section-32-closes-740m-vc-fund-to-back-startups-at-intersection-technology-and-healthcare target=""_blank""><div>Link</div></a>"
28,2021-11-03 9:15 AM,Biotech,Antios raises a further $75M to fuel pursuit of hepatitis B cure,"Antios is going full throttle in pursuit of a curative hepatitis B therapy, raising $75 million just months after its previous round to fund phase 2b.","<a href=https://www.fiercebiotech.com/biotech/antios-months-after-series-b-raises-a-further-75m-to-fuel-pursuit-hepatitis-b-cure target=""_blank""><div>Link</div></a>"
29,2021-11-03 8:25 AM,Biotech,Pfizer reveals series of delays to pivotal gene therapy readouts,"Having expected to post data from a trio of phase 3 trials next year, Pfizer has delayed all the readouts, setting back plans in hemophilia and DMD.","<a href=https://www.fiercebiotech.com/biotech/pfizer-tears-up-gene-therapy-timelines-revealing-a-series-phase-3-delays-end-vision-a target=""_blank""><div>Link</div></a>"
30,2021-11-03 7:55 AM,Biotech,Patient's race 'highly' correlates with trial site staff: study,"Private practices do a better job than academic medical centers and community hospitals of correlating staff and patient race, a Tufts study found.","<a href=https://www.fiercebiotech.com/cro/race-ethnicity-trial-patients-highly-correlated-staff-site-investigators-study target=""_blank""><div>Link</div></a>"
31,2021-11-03 7:36 PM,MedCity,Synbio startup GRObio gets $25M to work with new building blocks for protein drugs,"Harvard University spinout GRO Biosciences has technology offering the potential for protein therapies that are safer and more effective than currently available biologic drugs. The startup’s research is now backed by $25 million, a Series A financing round whose investors include the venture arm of Bayer.","<a href=https://medcitynews.com/2021/11/synbio-startup-grobio-gets-25m-to-work-with-new-building-blocks-for-protein-drugs/ target=""_blank""><div>Link</div></a>"
32,2021-11-03 7:30 AM,Biotech,"Intuity launches all-in-one, push-button blood glucose monitor","The FDA-cleared blood glucose reader is equipped with cartridges that provide up to 10 fingerstick tests, with the quick push of a button.","<a href=https://www.fiercebiotech.com/medtech/intuity-launches-all-one-push-button-blood-glucose-monitor target=""_blank""><div>Link</div></a>"
33,2021-11-03 7:00 AM,Biotech,Bristol Myers Squibb-backed Clade nabs a meaty $87M series A,"It still feels as if the use of cell therapy is a fresh innovation, but inertia is the enemy of progress, and next-gen approaches are already here.","<a href=https://www.fiercebiotech.com/biotech/bristol-myers-squibb-backed-clade-nabs-a-meaty-87m-series-a-for-cell-therapy-2-0 target=""_blank""><div>Link</div></a>"
34,2021-11-03 7:00 AM,Biotech,Flagship startups snag up to $110M from Cystic Fibrosis org,Flagship-founded biotechs will come together to form a new company focused on lung disease cystic fibrosis with up to $110 million to bankroll R&D.,"<a href=https://www.fiercebiotech.com/biotech/cohort-flagship-biotechs-snag-100m-to-make-cystic-fibrosis-treatments target=""_blank""><div>Link</div></a>"
35,2021-11-03 2:14 PM,Biotech,Allara launches at-home test for polycystic ovary syndrome,"After launching a virtual care platform, Allara is now debuting a PCOS test to reduce the diagnosis time from three years to as many days.","<a href=https://www.fiercebiotech.com/medtech/allara-launches-at-home-hormone-test-for-diagnosing-pcos target=""_blank""><div>Link</div></a>"
36,2021-11-03 1:45 PM,Biotech,Heru adds 3 more eye exams to VR headset-based platform,"After beginning the commercial launch of its re:Vive vision testing platform in August, Heru has already debuted an updated version of the technology.","<a href=https://www.fiercebiotech.com/medtech/heru-adds-3-more-diagnostics-to-vr-headset-based-vision-testing-platform target=""_blank""><div>Link</div></a>"
37,2021-11-03 12:00 PM,Biotech,Pfizer adds to $65M Parthenon war chest for tumor barrier battle,A new biotech is developing anti-cancer therapies to forge an attack on the protective barrier that shields tumors from the immune system. ,"<a href=https://www.fiercebiotech.com/biotech/pfizer-ventures-backed-biotech-parthenon-therapeutics-snags-65m-series-a-to-advance-its target=""_blank""><div>Link</div></a>"
38,2021-11-03 12:00 PM,Biotech,Novel CAR-T for solid tumors targets proteins in cancer cells,Penn scientists are working with Australian biotech Myrio to move a CAR-T treatment for neuroblastoma into clinical trials in 2022 or 2023.,"<a href=https://www.fiercebiotech.com/research/chop-car-t-therapy-solid-tumor-target-fragments-proteins-inside-cancer-cells target=""_blank""><div>Link</div></a>"
39,2021-11-03 10:35 AM,Biotech,"After securing first FDA nod in 17-year stint, Cara CEO departs","With FDA approval for its first drug, for itching in patients on dialysis, Cara Therapeutics is getting a new CEO, the current head of Leo Pharma.","<a href=https://www.fiercebiotech.com/biotech/cara-ceo-hands-keys-to-leo-head-3-months-after-first-approval-17-year-stint target=""_blank""><div>Link</div></a>"
40,2021-11-03 10:16 AM,Biotech,PhaseBio's Brilinta reversal agent wins midstage test,PhaseBio’s Brilinta reversal drug has scored a midstage win without any adverse events or blood clot issues.,"<a href=https://www.fiercebiotech.com/biotech/phasebio-s-brilinta-reversal-agent-wins-midstage-test-as-biotech-awaits-key-interim-read target=""_blank""><div>Link</div></a>"
41,2021-11-03 10:15 AM,Biotech,Boston Scientific wins $20M from Nevro in patent case,One major piece of the long-lasting and multifaceted legal battle between Boston Scientific and Nevro has finally come to a close.,"<a href=https://www.fiercebiotech.com/medtech/boston-scientific-wins-20m-patent-infringement-case-against-nevro-over-spinal-cord target=""_blank""><div>Link</div></a>"
42,2021-11-02 9:15 AM,Biotech,Why public health lab workers are fleeing the field,"Across California, public health departments are losing experienced staffers to retirement, exhaustion, partisan politics and higher-paying jobs.","<a href=https://www.fiercebiotech.com/medtech/labs-no-one-to-run-them-why-public-health-workers-are-fleeing-field target=""_blank""><div>Link</div></a>"
43,2021-11-02 8:30 AM,Biotech,Pfizer sells midphase inflammatory drugs to mystery startup,"Having studied its lead TYK2 inhibitor in a raft of diseases, Pfizer is offloading the portfolio to a new company in return for a 25% stake.","<a href=https://www.fiercebiotech.com/biotech/pfizer-sells-midphase-inflammatory-drugs-to-mystery-startup-exiting-race-against-bristol target=""_blank""><div>Link</div></a>"
44,2021-11-02 8:00 AM,Biotech,"BMS tops AbbVie-backed Nitrase's $45M series A, snags Nurix exec","Not a U.K. gaming company: Nitrome rebrands to Nitrase to mirror its new enzymes, adds BMS as investor and snags new CEO to ink pharma collaborations.","<a href=https://www.fiercebiotech.com/biotech/abbvie-backed-nitrome-adds-bms-as-investor-snags-nurix-cbo-as-ceo-and-rebrands-to-nitrase target=""_blank""><div>Link</div></a>"
45,2021-11-02 7:41 PM,MedCity,CMS extends telehealth coverage for behavioral health in 2022 physician fee schedule,"The Centers for Medicare and Medicaid Services dropped its physician fee schedule for next year. It would bolster coverage of telehealth visits for behavioral health and vaccine payments, but would also reduce the conversion factor used to calculate fee-for-service payments. ","<a href=https://medcitynews.com/2021/11/cms-extends-telehealth-coverage-for-behavioral-health-in-2022-physician-fee-schedule/ target=""_blank""><div>Link</div></a>"
46,2021-11-02 7:30 AM,MedCity,Remote service: The new paradigm for biopharma manufacturing,Microsoft seeks to change the way pharma industry companies use technology to navigate human resource challenges and restore confidence in drug development supply chains.,"<a href=https://medcitynews.com/2021/11/remote-service-the-new-paradigm-for-biopharma-manufacturing/ target=""_blank""><div>Link</div></a>"
47,2021-11-02 7:00 AM,Biotech,Moderna finally cracks into gene editing with Metagenomi pact,We finally know who Moderna has been courting behind the scenes to make the big jump into gene editing.,"<a href=https://www.fiercebiotech.com/biotech/moderna-finally-cracks-into-gene-editing-metagenomi-pact-thanks-irresistible-data target=""_blank""><div>Link</div></a>"
48,2021-11-02 6:34 PM,MedCity,"ALS drugmaker steps up with FDA filing, but yet another biotech stumbles in clinic","Amylyx Pharmaceuticals has submitted its amyotrophic lateral sclerosis (ALS) drug for FDA review based on positive Phase 2 data after discussions with the agency over the summer. Meanwhile, a Clene Nanomedicine ALS drug failed its Phase 2 study, but the biotech points to encouraging results in a subgroup of patients.","<a href=https://medcitynews.com/2021/11/als-drugmaker-steps-up-with-fda-filing-but-yet-another-biotech-stumbles-in-clinic/ target=""_blank""><div>Link</div></a>"
49,2021-11-02 5:00 AM,Biotech,Novartis inks protein degrader deal with new British startup,"By putting up $24 million and committing to $1.3 billion in biobucks, Novartis has secured the chance to option candidates against up to four targets.","<a href=https://www.fiercebiotech.com/biotech/novartis-makes-protein-degrader-play-inking-deal-new-british-startup-to-access-fruits-novel target=""_blank""><div>Link</div></a>"
50,2021-11-02 4:41 PM,MedCity,Pillar Biosciences seeks to make precision medicine a first-line therapy for cancer patients,"Randy Pritchard, Pillar Biosciences CEO, highlighted some of the progress the oncology solutions company has made in developing in-vitro diagnostics in response to emailed questions from MedCity News.","<a href=https://medcitynews.com/2021/11/pilar-biosciences-seeks-to-make-precision-medicine-a-first-line-therapy-for-cancer-patients/ target=""_blank""><div>Link</div></a>"
51,2021-11-02 4:34 AM,Biotech,"FDA delays Legend, Janssen-partnered CAR-T cilta-cel",Legend Biotech and Johnson & Johnson have been hit by an FDA delay for their cell therapy blood cancer hopeful ciltacabtagene autoleucel.,"<a href=https://www.fiercebiotech.com/biotech/legend-s-status-put-hold-as-fda-delays-janssen-partnered-car-t-decision target=""_blank""><div>Link</div></a>"
52,2021-11-02 4:11 PM,MedCity,Kaia Health adds in-person physical therapy through partnership,"The digital health company recently struck a partnership with Luna On-Demand Physical Therapy to offer in-person physical therapy services, in addition to its virtual programs for musculoskeletal care. Users in markets where Luna is available can schedule an in-home visit with the same physical therapists over time. ","<a href=https://medcitynews.com/2021/11/kaia-adds-in-person-physical-therapy-through-partnership/ target=""_blank""><div>Link</div></a>"
53,2021-11-02 3:40 PM,Biotech,Biolinq amasses $100M for its painless glucose sensor patch,"The race for the next major advancement in diabetes tracking technology continues to heat up, with Biolinq securing hefty investor support.","<a href=https://www.fiercebiotech.com/medtech/biolinq-amasses-100m-for-its-painless-glucose-sensor-patch target=""_blank""><div>Link</div></a>"
54,2021-11-02 3:00 AM,Biotech,The top 10 highest-paid medtech CEOs,"The COVID-19 pandemic presented a once-in-a-generation challenge for the medtech industry, and many of the CEOs on this list met it head-on.","<a href=https://www.fiercebiotech.com/special-report/top-10-highest-paid-medtech-ceos target=""_blank""><div>Link</div></a>"
55,2021-11-02 2:25 PM,Biotech,LightForce Orthodontics nets $50M for 3D-printed braces system,LightForce's system combines 3D printing technology and cloud-based treatment planning software to produce fully customized braces.,"<a href=https://www.fiercebiotech.com/medtech/3d-printed-braces-maker-lightforce-orthodontics-sinks-its-teeth-into-50m-vc-round target=""_blank""><div>Link</div></a>"
56,2021-11-02 2:17 PM,MedCity,Shoreline Biosciences secures $140M for off-the-shelf NK cell therapies for cancer,"Gilead Sciences and BeiGene, which started research alliances with Shoreline Biosciences earlier this year, are among the investors in the biotech’s latest financing. The preclinical-stage company technology develops cell therapies for cancer by using natural killer cells.","<a href=https://medcitynews.com/2021/11/shoreline-biosciences-secures-140m-for-off-the-shelf-nk-cell-therapies-for-cancer/ target=""_blank""><div>Link</div></a>"
57,2021-11-02 2:00 PM,MedCity,Rx for clinical trials moving forward: 4 key success factors,Covid-19 protocols may make re-opening or starting clinical trials seem like a daunting responsibility. Consider these four factors for a successful return to research.,"<a href=https://medcitynews.com/2021/11/rx-for-clinical-trials-moving-forward-4-key-success-factors/ target=""_blank""><div>Link</div></a>"
58,2021-11-02 1:47 PM,Biotech,Sage tweaks primary endpoint for zuranolone depression trial,Sage Therapeutics has slightly tweaked the primary endpoint for a phase 3 trial of the Biogen-partnered depression drug zuranolone.,"<a href=https://www.fiercebiotech.com/biotech/sage-tweaks-primary-endpoint-for-zuranolone-depression-trial-leaving-key-durability target=""_blank""><div>Link</div></a>"
59,2021-11-02 11:00 AM,Biotech,"Aldeyra dry eye drug helps with redness, misses secondary goals",Aldeyra Therapeutics’ dry eye drug helped relieve ocular redness but merely “approached statistical significance” on a secondary endpoint of wetness.,"<a href=https://www.fiercebiotech.com/biotech/aldeyra-s-dry-eye-drug-helps-redness-but-misses-other-phase-2-goals-important-measures target=""_blank""><div>Link</div></a>"
60,2021-11-02 10:20 AM,Biotech,Cambridge Epigenetix lines up $88M for genetic sequencing tech,"With the additional funds, the University of Cambridge spinout will accelerate the commercialization of its sequencing platform.","<a href=https://www.fiercebiotech.com/medtech/gv-backed-cambridge-epigenetix-lines-up-88m-to-roll-out-genetic-sequencing-technology target=""_blank""><div>Link</div></a>"
61,2021-11-01 9:40 AM,Biotech,How differences in T cells govern I-O resistance in NSCLC,"T cells that become dysfunctional because of changes in gene expression were reactivated with cytokines in mouse models of NSCLC, an MIT team said.","<a href=https://www.fiercebiotech.com/research/mit-team-uncovers-differences-t-cells-drive-immuno-oncology-resistance-lung-cancer target=""_blank""><div>Link</div></a>"
62,2021-11-01 9:30 AM,Biotech,Lengo's hiring spree continues with Pfizer vet,"Lengo Therapeutics has named a slate of new hires in recent months and is back at it again, nabbing Turning Point’s Brion Murray, Ph.D.","<a href=https://www.fiercebiotech.com/biotech/lengo-s-hiring-spree-shows-no-signs-slowing-as-it-hires-pfizer-veteran-murray-as-vp target=""_blank""><div>Link</div></a>"
63,2021-11-01 9:05 AM,Biotech,Ex-Moderna CMO Zaks takes venture partner post at OrbiMed,"Weeks after leaving Moderna, Zaks has taken up a venture partner post at OrbiMed—where he is joined by another storied biopharma executive.","<a href=https://www.fiercebiotech.com/biotech/zaks-fresh-from-making-millions-at-moderna-takes-venture-partner-post-at-orbimed target=""_blank""><div>Link</div></a>"
64,2021-11-01 8:45 AM,Biotech,"Gilead bought his last biotech. Now, Helin has a new startup",The founder of a biotech bought by Gilead has birthed another startup.,"<a href=https://www.fiercebiotech.com/biotech/gilead-bought-his-last-biotech-now-helin-back-another-cancer-startup target=""_blank""><div>Link</div></a>"
65,2021-11-01 8:00 AM,Biotech,Merck inks $525M biobucks pact for Synthekine's cytokine target,Preclinical biotech Synthekine inks its first pharma collaborator in $525 million biobucks pact with Merck for cytokine target in autoimmune disease.,"<a href=https://www.fiercebiotech.com/biotech/as-covid-takes-center-stage-at-merck-pharma-signs-525m-biobucks-pact-synthekine-for target=""_blank""><div>Link</div></a>"
66,2021-11-01 8:00 AM,Biotech,A New Reference Model for Clinical Trial Recruitment,Rare diseases demand a modern approach grounded in uncovering medically-eligible patients with the highest propensity for enrollment and retention.,"<a href=https://www.fiercebiotech.com/sponsored/a-new-reference-model-for-clinical-trial-recruitment-enrollment-and-retention-success target=""_blank""><div>Link</div></a>"
67,2021-11-01 7:59 PM,MedCity,Teladoc plans to fend off competitors by building a full suite of products,"As more companies spin up their own telehealth products, Teladoc CEO Jason Gorevic said the company continues to acquire and retain customers by having a full suite of solutions. He expects that point solutions will have a harder time going forward. ","<a href=https://medcitynews.com/2021/11/teladoc-plans-to-fend-off-competitors-by-building-a-full-suite-of-products/ target=""_blank""><div>Link</div></a>"
68,2021-11-01 7:15 AM,Biotech,BD inks BARDA contract to develop tests for COVID’s long future,The goal is to provide COVID tests that simultaneously screen for the flu and other infectious diseases from a single sample.,"<a href=https://www.fiercebiotech.com/medtech/bd-inks-barda-contract-to-develop-covid-tests-for-long-future-pandemic target=""_blank""><div>Link</div></a>"
69,2021-11-01 7:10 AM,Biotech,Detect nets FDA green light for home-based molecular COVID test,The company’s molecular diagnostic received an emergency authorization allowing it to be sold at retail stores over-the-counter.,"<a href=https://www.fiercebiotech.com/medtech/detect-nets-fda-green-light-to-bring-routine-molecular-covid-testing-to-home target=""_blank""><div>Link</div></a>"
70,2021-11-01 5:25 PM,MedCity,"New CMS incentives look to close equity gap in home dialysis, kidney transplants ",The agency issued a final rule on Friday that would update payment rates for dialysis. It includes a payment model that would incentivize healthcare providers to decrease disparities for in-home dialysis rates and transplant rates among low-income patients. ,"<a href=https://medcitynews.com/2021/11/new-cms-incentives-look-to-close-equity-gap-in-home-dialysis-kidney-transplants/ target=""_blank""><div>Link</div></a>"
71,2021-11-01 3:10 PM,Biotech,TriNetX hires Harvard professor as chief scientific officer,Jeffrey Brown will move down the block from his office at Harvard Medical School to be the chief scientific officer of TriNetX.,"<a href=https://www.fiercebiotech.com/cro/trials-network-provider-life-sciences-data-company-trinetx-snags-harvard-prof-as-chief target=""_blank""><div>Link</div></a>"
72,2021-11-01 12:20 PM,Biotech,"'The year of RSV': Pfizer, GSK present dueling maternal vax data",Pfizer's RSV vaccine has shown 85% efficacy in protecting babies born to vaccinated mothers from infection or hospitalization.,"<a href=https://www.fiercebiotech.com/biotech/year-rsv-ahead-as-pfizer-gsk-present-dueling-maternal-vax-data target=""_blank""><div>Link</div></a>"
73,2021-11-01 11:52 AM,Biotech,Boehringer joins $20M series A for Alzheimer's test maker Optina,Optina will continue to develop its Retinal Deep Phenotyping platform and accelerate clinical trials of its first Alzheimer’s diagnostic.,"<a href=https://www.fiercebiotech.com/medtech/optina-diagnostics-nabs-boehringer-s-support-20m-vc-round-for-retina-based-alzheimer-s-test target=""_blank""><div>Link</div></a>"
74,2021-11-01 11:14 AM,Biotech,"Mirati KRAS concerns as key adagrasib lead, COO suddenly exit",Mirati's new CEO has shown the biotech's chief medical and operating officers the exit as the biotech searches for a CFO to lead commercialization.,"<a href=https://www.fiercebiotech.com/biotech/kras-race-against-amgen-mirati-cmo-and-coo-shown-exit-ahead-fda-drug-approval-request target=""_blank""><div>Link</div></a>"
75,2021-11-01 10:22 AM,Biotech,Inovio falls victim to AstraZeneca's 'usual pipeline pruning',AstraZeneca is wielding the ax to a bloated pipeline and Inovio has found itself the latest victim. ,"<a href=https://www.fiercebiotech.com/biotech/inovio-falls-victim-to-astrazeneca-s-usual-pipeline-pruning-as-human-papillomavirus-cancer target=""_blank""><div>Link</div></a>"
76,2021-11-01 10:10 AM,Biotech,Zimmer Biomet recalls Rosa One robotic neurosurgery platform,"According to the FDA, an error in the latest version of the Rosa One software could cause instruments to be incorrectly placed during neurosurgery.","<a href=https://www.fiercebiotech.com/medtech/zimmer-biomet-issues-class-i-recall-rosa-one-robotic-neurosurgery-platform-due-to-software target=""_blank""><div>Link</div></a>"
